ID,duration,wav,semantics,intent,entities,transcript
125644,0.96,./slurp/slurp_real/audio-1501758844-headset.flac,{'scenario': 'play'| 'action': 'music'| 'entities': []},music,[],music on
126167,4.479375,./slurp/slurp_real/audio-1495734430.flac,{'scenario': 'iot'| 'action': 'hue_lightup'| 'entities': []},hue_lightup,[],alexa increase the brightness of the light it is hard to see down here
120558,4.479375,./slurp/slurp_real/audio-1501777206.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'today'}]},query,[{'type': 'date'| 'filler': 'today'}],do i have any reminders today
125562,1.92,./slurp/slurp_real/audio-1501689709-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'today'}]},query,[{'type': 'date'| 'filler': 'today'}],what is weather today
122694,2.3676875,./slurp/slurp_real/audio-1489153372.flac,{'scenario': 'recommendation'| 'action': 'events'| 'entities': [{'type': 'place_name'| 'filler': 'new york city'}]},events,[{'type': 'place_name'| 'filler': 'new york city'}],what events are going on in new york city
121037,3.1995625,./slurp/slurp_real/audio-1496265823.flac,{'scenario': 'news'| 'action': 'query'| 'entities': [{'type': 'media_type'| 'filler': 'news express'}]},query,[{'type': 'media_type'| 'filler': 'news express'}],what's new in news express
126822,3.5835,./slurp/slurp_real/audio-1497555761.flac,{'scenario': 'audio'| 'action': 'volume_down'| 'entities': []},volume_down,[],lower the volume
123434,3.27,./slurp/slurp_real/audio-1488552485.flac,{'scenario': 'datetime'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'beijing'}]},query,[{'type': 'place_name'| 'filler': 'beijing'}],what time is it in beijing
126014,4.2234375,./slurp/slurp_real/audio-1489497488.flac,{'scenario': 'recommendation'| 'action': 'events'| 'entities': []},events,[],what activities are taking place in my area
127608,2.687625,./slurp/slurp_real/audio-1488991666.flac,{'scenario': 'datetime'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'california'}]},query,[{'type': 'place_name'| 'filler': 'california'}],what is time now in california
127283,4.1594375,./slurp/slurp_real/audio-1488970917.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'pav bhaji'}]},recipe,[{'type': 'food_type'| 'filler': 'pav bhaji'}],how is pav bhaji cooked
123509,3.1995625,./slurp/slurp_real/audio-1488975602.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},quirky,[],what do you think of the three laws of robotics
125378,3.84,./slurp/slurp_real/audio-1497861694-headset.flac,{'scenario': 'news'| 'action': 'query'| 'entities': [{'type': 'news_topic'| 'filler': 'dea guam prescription drug abuse on the rise'}]},query,[{'type': 'news_topic'| 'filler': 'dea guam prescription drug abuse on the rise'}],dea guam prescription drug abuse on the rise
121887,5.2473125,./slurp/slurp_real/audio-1492783629.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'time'| 'filler': 'eight am'}| {'type': 'time'| 'filler': 'five pm'}| {'type': 'date'| 'filler': 'today'}]},query,[{'type': 'time'| 'filler': 'eight am'}| {'type': 'time'| 'filler': 'five pm'}| {'type': 'date'| 'filler': 'today'}],do i have anywhere to be between eight am and five pm today
121504,3.5195625,./slurp/slurp_real/audio-1497451273.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': []},query,[],is calendar event false
121566,1.4078125,./slurp/slurp_real/audio-1498756972.flac,{'scenario': 'play'| 'action': 'game'| 'entities': [{'type': 'game_name'| 'filler': 'the puzzle'}]},game,[{'type': 'game_name'| 'filler': 'the puzzle'}],lets solve the puzzle
126085,1.5358125,./slurp/slurp_real/audio-1502375587.flac,{'scenario': 'datetime'| 'action': 'convert'| 'entities': [{'type': 'place_name'| 'filler': 'new york'}| {'type': 'place_name'| 'filler': 'london'}]},convert,[{'type': 'place_name'| 'filler': 'new york'}| {'type': 'place_name'| 'filler': 'london'}],convert new york time to london
121314,2.304,./slurp/slurp_real/audio-1490369006-headset.flac,{'scenario': 'iot'| 'action': 'hue_lightchange'| 'entities': []},hue_lightchange,[],change the color of the lights
128544,2.88,./slurp/slurp_real/audio-1498573605-headset.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},quirky,[],tell me an interesting fact about this
123455,3.072,./slurp/slurp_real/audio-1499090915-headset.flac,{'scenario': 'news'| 'action': 'query'| 'entities': [{'type': 'news_topic'| 'filler': 'international trade and business market'}]},query,[{'type': 'news_topic'| 'filler': 'international trade and business market'}],international trade and business market
126982,2.4316875,./slurp/slurp_real/audio-1495734479.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'timeofday'| 'filler': 'afternoon'}| {'type': 'date'| 'filler': 'tomorrow'}]},query,[{'type': 'timeofday'| 'filler': 'afternoon'}| {'type': 'date'| 'filler': 'tomorrow'}],what is my afternoon schedule tomorrow
125223,2.368,./slurp/slurp_real/audio-1498573422-headset.flac,{'scenario': 'recommendation'| 'action': 'locations'| 'entities': [{'type': 'business_type'| 'filler': 'bike shops'}| {'type': 'place_name'| 'filler': 'oxford'}]},locations,[{'type': 'business_type'| 'filler': 'bike shops'}| {'type': 'place_name'| 'filler': 'oxford'}],any good bike shops in oxford
127845,2.17575,./slurp/slurp_real/audio-1501778664.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'date'| 'filler': 'tuesday'}| {'type': 'event_name'| 'filler': 'meeting'}| {'type': 'timeofday'| 'filler': 'noon'}]},set,[{'type': 'date'| 'filler': 'tuesday'}| {'type': 'event_name'| 'filler': 'meeting'}| {'type': 'timeofday'| 'filler': 'noon'}],tuesday meeting noon
127195,3.584,./slurp/slurp_real/audio--1504198498-headset.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'player_setting'| 'filler': 'put on'}| {'type': 'audiobook_name'| 'filler': 'chuck palhunik'}]},audiobook,[{'type': 'player_setting'| 'filler': 'put on'}| {'type': 'audiobook_name'| 'filler': 'chuck palhunik'}],can you put on the chuck palhunik audio book
121456,1.79175,./slurp/slurp_real/audio-1434532423.flac,{'scenario': 'calendar'| 'action': 'remove'| 'entities': []},remove,[],delete day after event
124204,1.408,./slurp/slurp_real/audio-1490008079-headset.flac,{'scenario': 'music'| 'action': 'settings'| 'entities': [{'type': 'player_setting'| 'filler': 'disable'}| {'type': 'player_setting'| 'filler': 'shuffle'}]},settings,[{'type': 'player_setting'| 'filler': 'disable'}| {'type': 'player_setting'| 'filler': 'shuffle'}],disable shuffle
126136,4.479375,./slurp/slurp_real/audio-1502890164.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},quirky,[],can you tell me how to get the answer to this
125899,2.3036875,./slurp/slurp_real/audio-1497883340.flac,{'scenario': 'email'| 'action': 'sendemail'| 'entities': []},sendemail,[],email message to address
127526,1.79175,./slurp/slurp_real/audio-1499694568.flac,{'scenario': 'iot'| 'action': 'hue_lightoff'| 'entities': []},hue_lightoff,[],switch off the light
120652,6.2694375,./slurp/slurp_real/audio-1502311339.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},query,[],nine hundred and ninety nine fm is currently playing what music
128025,3.136,./slurp/slurp_real/audio-1497438089-headset.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'media_type'| 'filler': 'audiobook'}]},audiobook,[{'type': 'media_type'| 'filler': 'audiobook'}],look for this playback in audiobook and play for me
127857,1.85575,./slurp/slurp_real/audio-1494607607.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': []},set,[],add the following date and time to my calendar
121888,1.856,./slurp/slurp_real/audio-1501692142-headset.flac,{'scenario': 'email'| 'action': 'querycontact'| 'entities': [{'type': 'device_type'| 'filler': 'phone book'}]},querycontact,[{'type': 'device_type'| 'filler': 'phone book'}],how many contacts do i have in my phone book
127149,3.9675,./slurp/slurp_real/audio-1497879819.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': [{'type': 'radio_name'| 'filler': 'nine hundred and fifty one'}]},radio,[{'type': 'radio_name'| 'filler': 'nine hundred and fifty one'}],turn on channel nine hundred and fifty one
126513,1.984,./slurp/slurp_real/audio-1500036536-headset.flac,{'scenario': 'email'| 'action': 'addcontact'| 'entities': []},addcontact,[],save to contacts
121303,2.752,./slurp/slurp_real/audio--1505406777-headset.flac,{'scenario': 'alarm'| 'action': 'remove'| 'entities': [{'type': 'time'| 'filler': 'six am'}| {'type': 'date'| 'filler': 'Wednesday'}]},remove,[{'type': 'time'| 'filler': 'six am'}| {'type': 'date'| 'filler': 'Wednesday'}],turn off the six am alarm for wednesday
121940,1.664,./slurp/slurp_real/audio-1501690049-headset.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},radio,[],start radio
122144,4.032,./slurp/slurp_real/audio-1499245771-headset.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'general_frequency'| 'filler': 'every single day'}| {'type': 'time'| 'filler': 'nine am'}]},set,[{'type': 'general_frequency'| 'filler': 'every single day'}| {'type': 'time'| 'filler': 'nine am'}],i need a reminder every single day at nine am
125403,2.944,./slurp/slurp_real/audio--1505407121-headset.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': []},audiobook,[],please play back some important points summary
122224,2.943625,./slurp/slurp_real/audio-1489154287.flac,{'scenario': 'social'| 'action': 'post'| 'entities': [{'type': 'media_type'| 'filler': 'facebook'}]},post,[{'type': 'media_type'| 'filler': 'facebook'}],facebook status busy day
121295,5.12,./slurp/slurp_real/audio-1497439350-headset.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'this weekend'}]},query,[{'type': 'date'| 'filler': 'this weekend'}],am i busy this weekend
128270,3.648,./slurp/slurp_real/audio-1434541717-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},query,[],please check for recent email study from this sender
120748,1.98375,./slurp/slurp_real/audio-1489673999.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},quirky,[],it's very tough one
127144,2.112,./slurp/slurp_real/audio--1504190343-headset.flac,{'scenario': 'iot'| 'action': 'coffee'| 'entities': []},coffee,[],please start the coffee
120142,2.816,./slurp/slurp_real/audio-1494548782-headset.flac,{'scenario': 'takeaway'| 'action': 'order'| 'entities': [{'type': 'food_type'| 'filler': 'wings with french fries'}| {'type': 'business_name'| 'filler': 'chinese food store'}]},order,[{'type': 'food_type'| 'filler': 'wings with french fries'}| {'type': 'business_name'| 'filler': 'chinese food store'}],hey olly order two wings with french fries from the chinese food store
122287,2.815625,./slurp/slurp_real/audio-1498565491.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},createoradd,[{'type': 'date'| 'filler': 'tomorrow'}],by tomorrow create a new list
121856,5.1833125,./slurp/slurp_real/audio--1506078231.flac,{'scenario': 'alarm'| 'action': 'set'| 'entities': [{'type': 'time'| 'filler': 'five'}| {'type': 'timeofday'| 'filler': 'evening'}| {'type': 'event_name'| 'filler': 'taxi'}]},set,[{'type': 'time'| 'filler': 'five'}| {'type': 'timeofday'| 'filler': 'evening'}| {'type': 'event_name'| 'filler': 'taxi'}],set an alarm for five o'clock this evening labelled taxi
119883,3.712,./slurp/slurp_real/audio-1499695168-headset.flac,{'scenario': 'email'| 'action': 'query'| 'entities': []},query,[],how many unread emails do i have
121366,2.943625,./slurp/slurp_real/audio-1490108045.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': [{'type': 'list_name'| 'filler': 'grocery'}]},createoradd,[{'type': 'list_name'| 'filler': 'grocery'}],put pencil on a new grocery list
122933,2.943625,./slurp/slurp_real/audio-1497886634.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},query,[],give me information on the song that's playing
128563,3.007625,./slurp/slurp_real/audio-1490358935.flac,{'scenario': 'iot'| 'action': 'coffee'| 'entities': []},coffee,[],i would like some coffee now
